,lat,lon,power,geometry
5789087587,63.1865623,28.1823192,-60.0,POINT (28.1823192 63.1865623)
5801287541,61.6784019,27.2382506,-642.0,POINT (27.2382506 61.6784019)
5820041388,62.1821531,23.0236111,-20.0,POINT (23.0236111 62.1821531)
5824954305,61.432904,26.4697552,-23.0,POINT (26.4697552 61.432904)
5844006785,66.7707367,23.9882296,-37.0,POINT (23.9882296 66.7707367)
5876673097,61.3205672,22.115905,327.82,POINT (22.115905 61.3205672)
5926523957,61.8306469,25.8023797,-9.0,POINT (25.8023797 61.8306469)
5927335473,61.2630553,24.0168195,13.98,POINT (24.0168195 61.2630553)
5931192731,64.3005193,26.1094817,-58.0,POINT (26.1094817 64.3005193)
5954207823,66.8163143,28.6607362,-37.0,POINT (28.6607362 66.8163143)
6005740158,61.3078833,23.7533227,-34.0,POINT (23.7533227 61.3078833)
6041701204,61.5068918,25.7146856,-43.0,POINT (25.7146856 61.5068918)
6175259891,62.6786359,26.3577273,8.3,POINT (26.3577273 62.6786359)
6185546260,60.683827,21.6783539,-26.0,POINT (21.6783539 60.683827)
6349781567,64.2563681,25.9998346,-21.0,POINT (25.9998346 64.2563681)
6402026636,61.2549123,22.318961,-80.0,POINT (22.318961 61.2549123)
6452816489,60.8625951,22.4405077,-26.0,POINT (22.4405077 60.8625951)
6452816580,61.0592573,22.3452032,-120.0,POINT (22.3452032 61.0592573)
6477443704,61.8746794,27.9050132,6.44,POINT (27.9050132 61.8746794)
6657383046,61.4293966,22.8532605,-944.0,POINT (22.8532605 61.4293966)
6761759288,62.7233384,21.2836311,-38.0,POINT (21.2836311 62.7233384)
6761759544,62.9457544,21.5013055,-68.0,POINT (21.5013055 62.9457544)
7392526184,62.3973078,22.3905169,-135.0,POINT (22.3905169 62.3973078)
7475973516,60.9311561,26.5992209,149.02,POINT (26.5992209 60.9311561)
7724081389,60.9519943,25.6586391,1.82,POINT (25.6586391 60.9519943)
7785011979,60.5361632,24.2051288,-116.0,POINT (24.2051288 60.5361632)
7804630594,60.5798138,21.6217626,-1.0,POINT (21.6217626 60.5798138)
7804630595,60.5807751,21.6203405,-5.0,POINT (21.6203405 60.5807751)
7833295947,61.7580942,23.0609544,-95.0,POINT (23.0609544 61.7580942)
7833295948,61.7580323,23.0622853,8.73,POINT (23.0622853 61.7580323)
7833827236,61.8257714,22.9481785,-18.0,POINT (22.9481785 61.8257714)
7833850369,61.9126789,22.9763586,44.88,POINT (22.9763586 61.9126789)
8316228793,63.3665743,23.4930806,7.19,POINT (23.4930806 63.3665743)
8355814315,64.2746367,24.0555203,-142.0,POINT (24.0555203 64.2746367)
8381797554,60.4654414,26.2308371,-183.0,POINT (26.2308371 60.4654414)
8390726650,62.5964514,27.1064736,-92.0,POINT (27.1064736 62.5964514)
8415853379,63.5628617,29.0601686,-17.0,POINT (29.0601686 63.5628617)
8418480131,63.323636,30.13503,78.35,POINT (30.13503 63.323636)
8463411656,63.2152222,30.1801605,83.62,POINT (30.1801605 63.2152222)
8494933288,62.482318,21.3752612,-551.0,POINT (21.3752612 62.482318)
8501607760,62.2914482,21.378622,-66.0,POINT (21.378622 62.2914482)
8572948247,63.3655759,25.0454267,-14.0,POINT (25.0454267 63.3655759)
8588146655,64.5542029,24.6159625,-1271.0,POINT (24.6159625 64.5542029)
8588146656,64.5546454,24.6209675,3.21,POINT (24.6209675 64.5546454)
8637662188,61.6490428,23.2318282,-187.0,POINT (23.2318282 61.6490428)
