,lat,lon,power,geometry
1867952273,63.5664114,29.13101,-77.0,POINT (29.13101 63.5664114)
1867952293,63.5671845,29.1208901,35.76,POINT (29.1208901 63.5671845)
1867952311,63.5683734,29.1405304,35.76,POINT (29.1405304 63.5683734)
1883245033,60.3907908,25.5670523,175.61,POINT (25.5670523 60.3907908)
1883245171,60.4054742,25.6536565,-2203.0,POINT (25.6536565 60.4054742)
1883245172,60.4060115,25.6574307,5.03,POINT (25.6574307 60.4060115)
1883245173,60.406646,25.6618971,5.03,POINT (25.6618971 60.406646)
1885661000,60.4375144,25.6392302,-44.0,POINT (25.6392302 60.4375144)
1886541905,60.4509767,25.3047059,-37.0,POINT (25.3047059 60.4509767)
1887289655,60.4104826,24.3390341,-247.0,POINT (24.3390341 60.4104826)
1889762974,60.9116007,25.3474377,-128.0,POINT (25.3474377 60.9116007)
1889840986,60.8079744,25.70523,-153.0,POINT (25.70523 60.8079744)
1890129245,63.0491851,22.0057857,-64.0,POINT (22.0057857 63.0491851)
1890384337,60.6520375,25.2975929,-233.0,POINT (25.2975929 60.6520375)
1890384340,60.6527074,25.3001094,-17.0,POINT (25.3001094 60.6527074)
1956550790,62.4856149,27.764053,-116.0,POINT (27.764053 62.4856149)
2043052860,60.1395161,24.4349748,-406.0,POINT (24.4349748 60.1395161)
2055341826,61.0815829,24.4386731,-91.0,POINT (24.4386731 61.0815829)
2072239268,61.0291219,22.9759017,-28.0,POINT (22.9759017 61.0291219)
2086327496,61.5817699,25.9993896,-38.0,POINT (25.9993896 61.5817699)
2090571394,62.8268329,27.6185236,-1125.0,POINT (27.6185236 62.8268329)
2094639385,62.0045277,24.4779928,-320.0,POINT (24.4779928 62.0045277)
2097682897,61.791843,24.426309,31.94,POINT (24.426309 61.791843)
2101622556,61.8570284,25.1631093,-2761.0,POINT (25.1631093 61.8570284)
2104005937,62.9764309,26.8376999,-16.0,POINT (26.8376999 62.9764309)
2156877324,64.4551841,27.8878316,-30.0,POINT (27.8878316 64.4551841)
2156877420,64.5510783,27.5901621,-26.0,POINT (27.5901621 64.5510783)
2156877604,64.5708851,27.1316005,99.02,POINT (27.1316005 64.5708851)
2156877608,64.5716546,27.1127033,99.02,POINT (27.1127033 64.5716546)
2258412834,63.0794712,25.5805798,20.78,POINT (25.5805798 63.0794712)
2258414584,63.3748308,25.5952766,-41.0,POINT (25.5952766 63.3748308)
2261816756,65.3359749,25.4121446,173.8,POINT (25.4121446 65.3359749)
2263512511,65.8443925,24.1932094,67.56,POINT (24.1932094 65.8443925)
2276965178,61.080024,28.4849129,3.28,POINT (28.4849129 61.080024)
2276965200,61.0651654,28.4494569,3.28,POINT (28.4494569 61.0651654)
2278030269,61.0108236,28.2918714,301.91,POINT (28.2918714 61.0108236)
2287139219,64.1171983,29.4759479,14.29,POINT (29.4759479 64.1171983)
2289129983,60.9080935,24.6265751,-300.0,POINT (24.6265751 60.9080935)
2297584568,64.9077557,25.4961844,-124.0,POINT (25.4961844 64.9077557)
2302343980,60.7431338,27.6182098,-17.0,POINT (27.6182098 60.7431338)
2312780155,61.4487879,24.0821674,-272.0,POINT (24.0821674 61.4487879)
2376430694,61.468959,23.7696975,8.66,POINT (23.7696975 61.468959)
2405808016,63.9794319,28.0005541,-197.0,POINT (28.0005541 63.9794319)
2405808249,64.0703044,27.6382263,-762.0,POINT (27.6382263 64.0703044)
2408331223,63.8832323,25.459953,-116.0,POINT (25.459953 63.8832323)
2408331345,63.9376069,25.569222,199.21,POINT (25.569222 63.9376069)
2408331411,63.9496605,25.5894597,7.87,POINT (25.5894597 63.9496605)
2408331526,63.9983872,25.6336032,-25.0,POINT (25.6336032 63.9983872)
2419730860,60.3485591,23.0705653,-560.0,POINT (23.0705653 60.3485591)
2447950442,60.8212358,21.5705728,1.78,POINT (21.5705728 60.8212358)
2453641663,61.8777111,28.7633353,0.15,POINT (28.7633353 61.8777111)
2455053493,61.8859182,28.9314583,-399.0,POINT (28.9314583 61.8859182)
2466569559,60.2496788,24.0909328,-1305.0,POINT (24.0909328 60.2496788)
2467006318,60.0654741,23.7909054,-282.0,POINT (23.7909054 60.0654741)
2467006339,60.0723593,24.0015537,-64.0,POINT (24.0015537 60.0723593)
2470463719,61.1449353,22.7405099,8.44,POINT (22.7405099 61.1449353)
2504888862,62.5241243,25.458512,-25.0,POINT (25.458512 62.5241243)
2573833055,64.7879085,25.3106806,3.75,POINT (25.3106806 64.7879085)
2573833142,64.817708,25.3770782,-81.0,POINT (25.3770782 64.817708)
2598804076,61.9155136,28.847166,-14.0,POINT (28.847166 61.9155136)
2613446799,65.2208609,25.3354052,173.8,POINT (25.3354052 65.2208609)
2624865693,61.532549,26.9787914,8.76,POINT (26.9787914 61.532549)
2636358023,62.6419554,26.8825597,-32.0,POINT (26.8825597 62.6419554)
2647668116,62.5495024,29.1688626,4.69,POINT (29.1688626 62.5495024)
2647668145,62.561557,29.2022808,22.37,POINT (29.2022808 62.561557)
